"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"GSX","GSX Techedu Inc.","14.59","$3.43B","2019","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/gsx",
"GTT","GTT Communications, Inc.","9.81","$552.91M","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/gtt",
"GTYH","GTY Technology Holdings, Inc.","6.54","$341.1M","2016","Technology","EDP Services","https://old.nasdaq.com/symbol/gtyh",
"GSH","Guangshen Railway Company Limited","15.84","$2.24B","n/a","Transportation","Railroads","https://old.nasdaq.com/symbol/gsh",
"GNTY","Guaranty Bancshares, Inc.","31.89","$368.65M","2017","Finance","Major Banks","https://old.nasdaq.com/symbol/gnty",
"GFED","Guaranty Federal Bancshares, Inc.","24.38","$108.26M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/gfed",
"GH","Guardant Health, Inc.","73.93","$6.87B","2018","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/gh",
"GHSI","Guardion Health Sciences, Inc.","0.5411","$19.34M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ghsi",
"GES","Guess?, Inc.","17.48","$1.15B","1996","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/ges",
"GGM","Guggenheim Credit Allocation Fund","19.88","$150.91M","2013","n/a","n/a","https://old.nasdaq.com/symbol/ggm",
"GPM","Guggenheim Enhanced Equity Income Fund","7.77","$374.66M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gpm",
"GOF","Guggenheim Strategic Opportunities Fund","18.56","$685.63M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gof",
"GBAB","Guggenheim Taxable Municipal Managed Duration Trst","23.93","$417M","2010","n/a","n/a","https://old.nasdaq.com/symbol/gbab",
"GWRE","Guidewire Software, Inc.","109.24","$8.94B","2012","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/gwre",
"GIFI","Gulf Island Fabrication, Inc.","5.77","$87.92M","1997","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/gifi",
"GURE","Gulf Resources, Inc.","0.743","$35.35M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/gure",
"GPOR","Gulfport Energy Corporation","3.21","$511.66M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/gpor",
"GWPH","GW Pharmaceuticals Plc","128.92","$3.98B","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/gwph",
"GWGH","GWG Holdings, Inc","10.7","$353.46M","2014","Finance","Life Insurance","https://old.nasdaq.com/symbol/gwgh",
"GXGX","GX Acquisiton Corp.","9.8","$70.44M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/gxgx",
"GXGXU","GX Acquisiton Corp.","10.15","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/gxgxu",
"GXGXW","GX Acquisiton Corp.","0.6","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/gxgxw",
"GYRO","Gyrodyne , LLC","19.55","$28.99M","n/a","Consumer Services","Building operators","https://old.nasdaq.com/symbol/gyro",
"HEES","H&E Equipment Services, Inc.","28.62","$1.02B","2006","n/a","n/a","https://old.nasdaq.com/symbol/hees",
"HRB","H&R Block, Inc.","23.42","$4.7B","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/hrb",
"FUL","H. B. Fuller Company","47.21","$2.4B","n/a","Basic Industries","Home Furnishings","https://old.nasdaq.com/symbol/ful",
"HAE","Haemonetics Corporation","129.44","$6.57B","1991","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/hae",
"HLG","Hailiang Education Group Inc.","63.74","$1.64B","2015","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/hlg",
"HNRG","Hallador Energy Company","3.78","$114.34M","n/a","Energy","Coal Mining","https://old.nasdaq.com/symbol/hnrg",
"HAL","Halliburton Company","20.44","$17.9B","n/a","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/hal",
"HALL","Hallmark Financial Services, Inc.","18.77","$340.17M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/hall",
"HALO","Halozyme Therapeutics, Inc.","16.37","$2.4B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/halo",
"HBB","Hamilton Beach Brands Holding Company","16.13","$220.64M","2017","Consumer Durables","Home Furnishings","https://old.nasdaq.com/symbol/hbb",
"HLNE","Hamilton Lane Incorporated","61.11","$3.26B","2017","Finance","Investment Managers","https://old.nasdaq.com/symbol/hlne",
"HJLI","Hancock Jaffe Laboratories, Inc.","0.95","$17.03M","2018","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/hjli",
"HJLIW","Hancock Jaffe Laboratories, Inc.","0.26","n/a","2018","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/hjliw",
"HWC","Hancock Whitney Corporation","38.42","$3.3B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/hwc",
"HWCPL","Hancock Whitney Corporation","25.94","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/hwcpl",
"HBI","Hanesbrands Inc.","14.33","$5.18B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/hbi",
"HNGR","Hanger, Inc.","21.54","$803.5M","2018","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/hngr",
"HAFC","Hanmi Financial Corporation","19.1","$590.73M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/hafc",
"HASI","Hannon Armstrong Sustainable Infrastructure Capital, Inc.","28.99","$1.9B","2013","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/hasi",
"HONE","HarborOne Bancorp, Inc.","10.15","$924.32M","2016","Finance","Major Banks","https://old.nasdaq.com/symbol/hone",
"HOG","Harley-Davidson, Inc.","35.27","$5.53B","n/a","Consumer Non-Durables","Motor Vehicles","https://old.nasdaq.com/symbol/hog",
"HLIT","Harmonic Inc.","6.9","$618.3M","1995","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/hlit",
"HMY","Harmony Gold Mining Company Limited","3.22","$1.74B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/hmy",
"HARP","Harpoon Therapeutics, Inc.","13.84","$339.97M","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/harp",
"HROW","Harrow Health, Inc.","5.83","$146.72M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/hrow",
"HSC","Harsco Corporation","19.69","$1.58B","n/a","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/hsc",
"HHS","Harte-Hanks, Inc.","3.37","$21.16M","1993","Technology","Advertising","https://old.nasdaq.com/symbol/hhs",
"HGH","Hartford Financial Services Group, Inc. (The)","29.05","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/hgh",
"HIG","Hartford Financial Services Group, Inc. (The)","60.44","$21.85B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/hig",
"HIG^G","Hartford Financial Services Group, Inc. (The)","27.9","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hig^g",
"HBIO","Harvard Bioscience, Inc.","3.47","$132.02M","2000","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/hbio",
"HCAP","Harvest Capital Credit Corporation","10.05","$61M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hcap",
"HCAPZ","Harvest Capital Credit Corporation","25.41","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hcapz",
"HAS","Hasbro, Inc.","117.63","$14.85B","n/a","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/has",
"HVT","Haverty Furniture Companies, Inc.","19.81","$390.33M","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/hvt",
"HVT.A","Haverty Furniture Companies, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hvt.a",
"HE","Hawaiian Electric Industries, Inc.","44.68","$4.87B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/he",
"HA","Hawaiian Holdings, Inc.","26.97","$1.28B","n/a","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/ha",
"HWKN","Hawkins, Inc.","43.3","$461.8M","n/a","Consumer Durables","Specialty Chemicals","https://old.nasdaq.com/symbol/hwkn",
